MI,MI_err,L,p,L_A
1.2066027036320779,0.095198591191344,10.0,0.0,5.0
2.038490147327579,0.07037095816443167,20.0,0.0,10.0
2.84746419468234,0.0632871488265755,30.0,0.0,15.0
3.627103751000902,0.058061467321414366,40.0,0.0,20.0
4.419041153073205,0.06092507577280925,50.0,0.0,25.0
1.213741145950399,0.09695250141254708,10.0,0.1,5.0
2.011399965535996,0.07032294887201716,20.0,0.1,10.0
2.819557821435626,0.06281313966612054,30.0,0.1,15.0
3.5415389839911158,0.058027214055928415,40.0,0.1,20.0
4.38010179538385,0.06135352879550921,50.0,0.1,25.0
1.1582648139125433,0.09134714675139156,10.0,0.2,5.0
1.9415040718654226,0.0732589881343818,20.0,0.2,10.0
2.6847916737774264,0.06518952433512545,30.0,0.2,15.0
3.419985971593176,0.060805825215111096,40.0,0.2,20.0
4.100887263341382,0.050746476691799304,50.0,0.2,25.0
1.1254691885987145,0.09221274885289339,10.0,0.3,5.0
1.828037131512097,0.07240462886993344,20.0,0.3,10.0
2.466506447382115,0.0630075741057231,30.0,0.3,15.0
3.1362098154180496,0.0610016860208339,40.0,0.3,20.0
3.7620656514524815,0.060046042044984926,50.0,0.3,25.0
1.0558261213706355,0.09213996619215793,10.0,0.4,5.0
1.6437462692332003,0.06838045084564269,20.0,0.4,10.0
2.21707293590272,0.0575568306065915,30.0,0.4,15.0
2.8123082844699936,0.05688123610704861,40.0,0.4,20.0
3.3317365785760433,0.05294744267720261,50.0,0.4,25.0
0.9838707915591877,0.08977241608991597,10.0,0.5,5.0
1.4825830516085916,0.06956439277702128,20.0,0.5,10.0
1.9296228408564537,0.05859468503651421,30.0,0.5,15.0
2.328862920275682,0.05398799110840318,40.0,0.5,20.0
2.6981759470513453,0.0486517282771286,50.0,0.5,25.0
0.8709305904659164,0.09300320803749032,10.0,0.6,5.0
1.2881533339758522,0.06639688825263819,20.0,0.6,10.0
1.6124293043472233,0.05922925096512412,30.0,0.6,15.0
2.0052046486065827,0.05304530463541911,40.0,0.6,20.0
2.140524112624208,0.04633320204924441,50.0,0.6,25.0
0.8110232236979603,0.08661896779011644,10.0,0.7,5.0
1.0836754529187762,0.06372021555656357,20.0,0.7,10.0
1.3109546282616367,0.05353017578732631,30.0,0.7,15.0
1.4569991057569527,0.05242582920062061,40.0,0.7,20.0
1.718785528957184,0.04782737520900933,50.0,0.7,25.0
0.727916408371,0.08838776579063752,10.0,0.8,5.0
0.9175786367063477,0.0586694500271077,20.0,0.8,10.0
1.0463586479394227,0.05020991616333477,30.0,0.8,15.0
1.194449421529243,0.04595731449408003,40.0,0.8,20.0
1.2976896556472608,0.037254319895823944,50.0,0.8,25.0
0.63734855057426,0.08124115688405355,10.0,0.9,5.0
0.744133553989914,0.05647902559909204,20.0,0.9,10.0
0.8272652276515782,0.046610284413222354,30.0,0.9,15.0
0.8692957290649942,0.0399889340144921,40.0,0.9,20.0
0.9299502860909983,0.0318361961709417,50.0,0.9,25.0
0.5432680887175313,0.07727128647661055,10.0,1.0,5.0
0.5977254048803132,0.05330524034010384,20.0,1.0,10.0
0.6352704415826811,0.04127826727260016,30.0,1.0,15.0
0.663958647590175,0.0337519592347868,40.0,1.0,20.0
0.68839737189796,0.033573740842230734,50.0,1.0,25.0
0.47685411030297753,0.0778045477252163,10.0,1.1,5.0
0.4817685458922543,0.04732694470231183,20.0,1.1,10.0
