MI,MI_err,L,p,p_0,L_A,t,runs
2.053026813635814,0.03625279166675287,10.0,0.0,0.0,5.0,0.0,100.0
1.000970202969667,0.025181132136080937,10.0,0.0,0.0,5.0,1.0,100.0
1.1019027433530793,0.02641779014134164,10.0,0.0,0.0,5.0,2.0,100.0
1.2539003004411193,0.029137519551037237,10.0,0.0,0.0,5.0,3.0,100.0
1.369858067115068,0.031321241842570735,10.0,0.0,0.0,5.0,4.0,100.0
1.4517677643079079,0.03285776950759377,10.0,0.0,0.0,5.0,5.0,100.0
1.5099831400404502,0.03393389711697372,10.0,0.0,0.0,5.0,6.0,100.0
1.5523686084103756,0.034699909633016814,10.0,0.0,0.0,5.0,7.0,100.0
1.5840360141950285,0.03525269480949504,10.0,0.0,0.0,5.0,8.0,100.0
1.608252451880621,0.035654779047295276,10.0,0.0,0.0,5.0,9.0,100.0
1.6271416401545884,0.035948406252791325,10.0,0.0,0.0,5.0,10.0,100.0
1.6421289659404192,0.03616380321093799,10.0,0.0,0.0,5.0,11.0,100.0
1.6541910150576584,0.03632158388196686,10.0,0.0,0.0,5.0,12.0,100.0
1.6640222347000029,0.03643764304296533,10.0,0.0,0.0,5.0,13.0,100.0
1.6721207724218992,0.03652273811083584,10.0,0.0,0.0,5.0,14.0,100.0
1.678858804131975,0.03658533519890801,10.0,0.0,0.0,5.0,15.0,100.0
1.6845113536853245,0.03663128614398795,10.0,0.0,0.0,5.0,16.0,100.0
1.6892914335507294,0.03666489963278915,10.0,0.0,0.0,5.0,17.0,100.0
1.6933628619987164,0.03668948393496525,10.0,0.0,0.0,5.0,18.0,100.0
1.6968511716009207,0.03670743652493842,10.0,0.0,0.0,5.0,19.0,100.0
1.699858105787813,0.03672016980485059,10.0,0.0,0.0,5.0,20.0,100.0
1.7024653653579134,0.0367292554897901,10.0,0.0,0.0,5.0,21.0,100.0
1.704735665245569,0.036736364171375,10.0,0.0,0.0,5.0,22.0,100.0
1.706722128101797,0.03674068683776235,10.0,0.0,0.0,5.0,23.0,100.0
1.708462248382922,0.03674391279740492,10.0,0.0,0.0,5.0,24.0,100.0
1.7100083081698383,0.036748406031728395,10.0,0.0,0.0,5.0,25.0,100.0
1.7113755039245557,0.03674677662113104,10.0,0.0,0.0,5.0,26.0,100.0
1.7126164999096443,0.036752273406842985,10.0,0.0,0.0,5.0,27.0,100.0
1.7136817602826002,0.03674966913546117,10.0,0.0,0.0,5.0,28.0,100.0
1.7146249207108641,0.03674600606352921,10.0,0.0,0.0,5.0,29.0,100.0
1.7154917711425925,0.0367458279915205,10.0,0.0,0.0,5.0,30.0,100.0
1.7162841333418453,0.03675262686054578,10.0,0.0,0.0,5.0,31.0,100.0
1.716979974506065,0.036747147511357534,10.0,0.0,0.0,5.0,32.0,100.0
1.7176244708882626,0.03674899042294889,10.0,0.0,0.0,5.0,33.0,100.0
1.7181861507410041,0.03675072717174562,10.0,0.0,0.0,5.0,34.0,100.0
1.7187371569677723,0.03674883877496714,10.0,0.0,0.0,5.0,35.0,100.0
1.7192053667766158,0.036751029941244434,10.0,0.0,0.0,5.0,36.0,100.0
1.719615439331115,0.03675027788800697,10.0,0.0,0.0,5.0,37.0,100.0
1.7200356949954503,0.03675152565326646,10.0,0.0,0.0,5.0,38.0,100.0
1.7204047108128449,0.036752269867431527,10.0,0.0,0.0,5.0,39.0,100.0
1.7207187903393881,0.03675233856344051,10.0,0.0,0.0,5.0,40.0,100.0
1.7210417760513184,0.036754078438394996,10.0,0.0,0.0,5.0,41.0,100.0
1.7213209588642715,0.03675431892654286,10.0,0.0,0.0,5.0,42.0,100.0
1.7215764127774897,0.0367556373902665,10.0,0.0,0.0,5.0,43.0,100.0
1.7218249073032899,0.03675695432146068,10.0,0.0,0.0,5.0,44.0,100.0
