MI,MI_err,L,p,L_A
0.7296398787759435,0.005769857587404796,10.0,0.0,3.0
1.107716058314628,0.007456090347243958,20.0,0.0,6.0
1.4207191925136338,0.007243718149083442,30.0,0.0,10.0
1.7937991097484387,0.015315022948047314,40.0,0.0,13.0
2.197140382947463,0.016161167451461515,50.0,0.0,16.0
0.7031180238803285,0.005628560883259172,10.0,0.1,3.0
1.0702854612119337,0.007430071318876839,20.0,0.1,6.0
1.3402223340809016,0.006860080946768664,30.0,0.1,10.0
1.689319292357564,0.016489046311828258,40.0,0.1,13.0
2.1224313622294337,0.017494045638003053,50.0,0.1,16.0
0.6845215475895976,0.00573550817211014,10.0,0.2,3.0
0.9905045989582233,0.007118943578429526,20.0,0.2,6.0
1.240745191604066,0.00689987411466102,30.0,0.2,10.0
1.5622417053976898,0.015590059771385936,40.0,0.2,13.0
1.9116268464367259,0.01606535834831542,50.0,0.2,16.0
0.6331860507178737,0.005399305233921728,10.0,0.3,3.0
0.9070221292329325,0.006756673742743376,20.0,0.3,6.0
1.089258814223655,0.006301319768826674,30.0,0.3,10.0
1.3449998466683482,0.014183258785808981,40.0,0.3,13.0
1.6345683694343804,0.013897931203454157,50.0,0.3,16.0
0.5765762928568778,0.005268425789558379,10.0,0.4,3.0
0.7842890018486519,0.006190992615329614,20.0,0.4,6.0
0.9164655342848018,0.005449881416351016,30.0,0.4,10.0
1.1285821863939314,0.012562656152312128,40.0,0.4,13.0
1.3477269204025495,0.013793314609170248,50.0,0.4,16.0
0.5210398845484996,0.005051755412123665,10.0,0.5,3.0
0.657968381954523,0.005669254692314472,20.0,0.5,6.0
0.730253474188576,0.004989502419126856,30.0,0.5,10.0
0.8518529788374342,0.010602794835821315,40.0,0.5,13.0
0.9892080952037428,0.01080268602349889,50.0,0.5,16.0
0.4594638934633882,0.00463278129452344,10.0,0.6,3.0
0.5344850043390116,0.004848613458389012,20.0,0.6,6.0
0.5500276090426942,0.004218688112719018,30.0,0.6,10.0
0.6249245625206035,0.008636118782776953,40.0,0.6,13.0
0.7078703250783758,0.009195724531580544,50.0,0.6,16.0
0.38424879606405676,0.003977851355192548,10.0,0.7,3.0
0.4123125761856111,0.004159759901511438,20.0,0.7,6.0
0.3951016743943899,0.0033325076418681504,30.0,0.7,10.0
0.45549022566069164,0.00700679280562061,40.0,0.7,13.0
0.47167756219489143,0.006770912291160328,50.0,0.7,16.0
0.3363628393346164,0.0038065018784179316,10.0,0.8,3.0
0.31110184477104075,0.003435619056743519,20.0,0.8,6.0
0.2768399344793695,0.0025976807073223467,30.0,0.8,10.0
0.2886622483666138,0.005206058693750046,40.0,0.8,13.0
0.29506793970192197,0.005027417756690391,50.0,0.8,16.0
0.2769679821036011,0.0033828911218556678,10.0,0.9,3.0
0.2302330735217792,0.0028660819958602974,20.0,0.9,6.0
0.18758678243487276,0.0019768962803001122,30.0,0.9,10.0
0.1775225921915654,0.0034574403740187877,40.0,0.9,13.0
0.18814643531872605,0.0035472411797848056,50.0,0.9,16.0
0.22340169556549058,0.002899469507171394,10.0,1.0,3.0
0.16558704200392535,0.002207948677808722,20.0,1.0,6.0
0.11954547124293231,0.0014070939179393037,30.0,1.0,10.0
0.11024592703259191,0.0027114810240717003,40.0,1.0,13.0
0.10433469583911731,0.002097657903384093,50.0,1.0,16.0
0.18293117254026622,0.0025596424161634644,10.0,1.1,3.0
0.11836539244256027,0.0017065193174020713,20.0,1.1,6.0
0.07509612016894132,0.0009197817227919033,30.0,1.1,10.0
0.06546404870528487,0.0018470695473268202,40.0,1.1,13.0
0.05652306311543697,0.001294322640221967,50.0,1.1,16.0
0.14895177698191303,0.0022823378267868926,10.0,1.2,3.0
0.07681659866040509,0.0012088729362247502,20.0,1.2,6.0
0.04651889485142621,0.0006200894630112373,30.0,1.2,10.0
0.03962273886048613,0.0010771711310886794,40.0,1.2,13.0
0.03310450177170968,0.0008186847210311721,50.0,1.2,16.0
0.11269561095986816,0.001711550686898167,10.0,1.3,3.0
0.052193289651431655,0.000892983989776847,20.0,1.3,6.0
0.028653839332764466,0.0004101666519970423,30.0,1.3,10.0
0.022401876757948372,0.0006418064722988559,40.0,1.3,13.0
0.018479187077530143,0.0005032195938704456,50.0,1.3,16.0
0.08956896864552559,0.0015929879713070898,10.0,1.4,3.0
