MI,MI_err,L,p,L_A
0.513512003214853,0.0043378725014701445,10.0,0.5,3.0
0.6525631421561104,0.0039854584172241995,20.0,0.5,6.0
0.7210392671632405,0.004062610413446069,30.0,0.5,10.0
0.8683272211584874,0.008481446131552916,40.0,0.5,13.0
0.9983276300570424,0.008696656179725867,50.0,0.5,16.0
0.5087037877903525,0.004341199364774249,10.0,0.525,3.0
0.6259539020529635,0.003992405099008913,20.0,0.525,6.0
0.6772947731451054,0.0038229320095055615,30.0,0.525,10.0
0.7844443106193459,0.009448933817101471,40.0,0.525,13.0
0.9159866053141852,0.010094160168462957,50.0,0.525,16.0
0.4990339046590352,0.004395374201384636,10.0,0.55,3.0
0.5911301924609276,0.003755805378233018,20.0,0.55,6.0
0.6386139758765007,0.0038037907100864875,30.0,0.55,10.0
0.7334290705117787,0.007691893607460143,40.0,0.55,13.0
0.8426831559130551,0.009468073898501982,50.0,0.55,16.0
0.46909721994319586,0.0041682049036387316,10.0,0.575,3.0
0.5680203299917456,0.003849035070695011,20.0,0.575,6.0
0.5901796967782713,0.003575136097081297,30.0,0.575,10.0
0.6943126349719448,0.00764038769899712,40.0,0.575,13.0
0.7908799817350122,0.009114781496768316,50.0,0.575,16.0
0.45799100047006924,0.004182144785979386,10.0,0.6,3.0
0.5359304912726516,0.0035991483955867018,20.0,0.6,6.0
0.5493397969155148,0.0034483388018608043,30.0,0.6,10.0
0.6352116214328705,0.006947548468187116,40.0,0.6,13.0
0.7199620849097246,0.008753382124722403,50.0,0.6,16.0
0.4425607073063598,0.004062356141634093,10.0,0.625,3.0
0.5022499829160832,0.003286768304463876,20.0,0.625,6.0
0.5122361226795669,0.0032608193599254066,30.0,0.625,10.0
0.5789903178985587,0.007049372780733346,40.0,0.625,13.0
0.6441714207227329,0.007575844167735597,50.0,0.625,16.0
0.42716281138392403,0.003775067735549473,10.0,0.65,3.0
0.4680526972309351,0.0032718184643790787,20.0,0.65,6.0
0.46924945861271045,0.0031046180741809595,30.0,0.65,10.0
0.5303009569483976,0.006804316266830265,40.0,0.65,13.0
0.5879430966891127,0.007382826590491654,50.0,0.65,16.0
0.41832611288508886,0.003908767114270731,10.0,0.675,3.0
0.4401409789566102,0.0031188365452839784,20.0,0.675,6.0
0.4389598196021399,0.0029212346696689904,30.0,0.675,10.0
0.4876295648181876,0.006544585689271061,40.0,0.675,13.0
0.5418032178570263,0.006479194827728085,50.0,0.675,16.0
0.39503677591324265,0.003748992885488273,10.0,0.7,3.0
0.4102111719711481,0.0029808506829977835,20.0,0.7,6.0
0.3955743673749117,0.0027175714299010785,30.0,0.7,10.0
0.44076653854967013,0.005877861610799997,40.0,0.7,13.0
0.4824976130838197,0.006335446200918733,50.0,0.7,16.0
0.3767097731390259,0.003577765030016303,10.0,0.725,3.0
0.38716837847645513,0.0028800137837014803,20.0,0.725,6.0
0.36743657417091036,0.0026676761151034683,30.0,0.725,10.0
0.40357616472935504,0.005648818677224025,40.0,0.725,13.0
0.4256341081097892,0.00611777607838885,50.0,0.725,16.0
0.3640388001245227,0.0035415709253243475,10.0,0.75,3.0
0.35821751098038485,0.0026307942722023064,20.0,0.75,6.0
0.334956145480327,0.0024135127147968936,30.0,0.75,10.0
0.3504920939222711,0.004887713367785407,40.0,0.75,13.0
0.3788066109438053,0.005670342030757382,50.0,0.75,16.0
0.34960807257163834,0.003538239807449086,10.0,0.775,3.0
0.33764668670563536,0.002679457620952205,20.0,0.775,6.0
0.30390190861991606,0.0022345821199921925,30.0,0.775,10.0
0.32996726366811635,0.005033735088150394,40.0,0.775,13.0
0.33846105076545735,0.004760494659694816,50.0,0.775,16.0
0.3319890295461647,0.0033054216386672274,10.0,0.8,3.0
0.3110279543378712,0.002472616989551535,20.0,0.8,6.0
0.27797104684960267,0.002134204308260838,30.0,0.8,10.0
0.2897473635861162,0.004420167964403297,40.0,0.8,13.0
0.2993431233132498,0.004790141808817278,50.0,0.8,16.0
0.31997110502383364,0.003189090831062733,10.0,0.825,3.0
