MI,MI_err,L,p,L_A
1.2046642343250324,0.10318950455034971,10.0,0.0,5.0
2.0415969714984046,0.06883521224522589,20.0,0.0,10.0
2.8583796470223173,0.06084750359035734,30.0,0.0,15.0
3.675368010427497,0.06431273055278292,40.0,0.0,20.0
4.456525029543078,0.05272375749735206,50.0,0.0,25.0
1.194034615868777,0.10111969648271796,10.0,0.2,5.0
1.9059947810767361,0.06171534103493561,20.0,0.2,10.0
2.663493512806158,0.055305171566570985,30.0,0.2,15.0
3.463294541018911,0.06793020498481245,40.0,0.2,20.0
4.0444039271605075,0.06131112044693557,50.0,0.2,25.0
1.055367821332833,0.09789666797749877,10.0,0.4,5.0
1.7293407957326814,0.07231584225514982,20.0,0.4,10.0
2.1963631918788122,0.06137936289824182,30.0,0.4,15.0
2.780520357277345,0.06095393693047719,40.0,0.4,20.0
3.1457316685613157,0.05646121342082052,50.0,0.4,25.0
0.9045182837673686,0.08764224731512722,10.0,0.6,5.0
1.336705179704115,0.06756127577265465,20.0,0.6,10.0
1.5492998628545058,0.058372390005554976,30.0,0.6,15.0
1.8751665013370484,0.055194137522031214,40.0,0.6,20.0
2.274971966708862,0.04766307738730994,50.0,0.6,25.0
0.6939867295087976,0.08024963921346588,10.0,0.8,5.0
0.9419478664602966,0.06555748834912287,20.0,0.8,10.0
1.0392028354454108,0.051270190875038195,30.0,0.8,15.0
1.1706454396962758,0.03834861734181653,40.0,0.8,20.0
1.3270729340877556,0.041375919850493374,50.0,0.8,25.0
0.5362138709669029,0.08345719258547557,10.0,1.0,5.0
0.5743496852013112,0.04825538995951978,20.0,1.0,10.0
0.5897918009113092,0.03865984533251638,30.0,1.0,15.0
0.6643489136407412,0.037392074789963696,40.0,1.0,20.0
0.657818273835634,0.03274588052605027,50.0,1.0,25.0
0.4303782737271235,0.07504332275813132,10.0,1.2,5.0
0.38760887698539537,0.04174187639033797,20.0,1.2,10.0
0.3939076753155149,0.03559546577975869,30.0,1.2,15.0
0.32485533931067134,0.022110020676390185,40.0,1.2,20.0
0.3344022624235027,0.017161759220890718,50.0,1.2,25.0
0.2679229200548357,0.05575553891346577,10.0,1.4,5.0
0.2621814365692794,0.03641599088422829,20.0,1.4,10.0
0.26528709708047354,0.03707562498812983,30.0,1.4,15.0
0.19338285549966425,0.01691602060476398,40.0,1.4,20.0
0.19505263029458683,0.012465340272100748,50.0,1.4,25.0
0.2725791240773747,0.08521919062180172,10.0,1.6,5.0
0.18430957758192745,0.030195340909300455,20.0,1.6,10.0
0.1365502322288166,0.015284228314330578,30.0,1.6,15.0
0.13816315216179498,0.019952322300685717,40.0,1.6,20.0
0.10645442160471656,0.0105785991650735,50.0,1.6,25.0
0.1596335315663733,0.04814887099096144,10.0,1.8,5.0
0.1281668396236784,0.030801732673021776,20.0,1.8,10.0
0.09484856462882603,0.017834010997501207,30.0,1.8,15.0
0.08034190567364492,0.00790411061725407,40.0,1.8,20.0
0.10309487214667659,0.01907531508905899,50.0,1.8,25.0
0.1215810515723205,0.03755006959715557,10.0,2.0,5.0
0.08880629825586717,0.02462695496773763,20.0,2.0,10.0
0.050623718956770765,0.007617320320783692,30.0,2.0,15.0
0.05511865039314401,0.0076972817537427655,40.0,2.0,20.0
0.04406701522047811,0.0076030230497962595,50.0,2.0,25.0
