std_mean,L,p
0.66752857,10,0.4
0.5054035,20,0.4
0.43532944,30,0.4
0.3867908,40,0.4
0.35596433,50,0.4
0.3391152,60,0.4
0.31810376,70,0.4
0.30844998,80,0.4
0.2929999,90,0.4
0.28321695,100,0.4
0.27546948,110,0.4
0.26720226,120,0.4
0.25791684,130,0.4
0.25203082,140,0.4
0.24650607,150,0.4
0.24375036,160,0.4
0.236566,170,0.4
0.23289919,180,0.4
0.22864065,190,0.4
0.22559601,200,0.4
0.22385703,210,0.4
0.2198064,220,0.4
0.21663266,230,0.4
0.21530476,240,0.4
0.21130678,250,0.4
0.20883822,260,0.4
0.20545055,270,0.4
0.20331834,280,0.4
0.20167603,290,0.4
0.19916156,300,0.4
0.1971887,310,0.4
0.196146,320,0.4
0.19367473,330,0.4
0.19394398,340,0.4
0.19101539,350,0.4
0.19026513,360,0.4
0.1885405,370,0.4
0.18724109,380,0.4
0.18385665,390,0.4
0.18395367,400,0.4
0.18273087,410,0.4
0.18050084,420,0.4
0.17977737,430,0.4
0.17830874,440,0.4
0.17711546,450,0.4
0.17576621,460,0.4
0.17491344,470,0.4
0.17511845,480,0.4
0.17310329,490,0.4
0.1726496,500,0.4
0.17131379,510,0.4
0.17058696,520,0.4
0.16959478,530,0.4
0.16917945,540,0.4
0.16752177,550,0.4
0.16672064,560,0.4
0.16573487,570,0.4
0.16544904,580,0.4
0.1645496,590,0.4
0.16235816,600,0.4
0.16308258,610,0.4
0.16238981,620,0.4
0.16131301,630,0.4
0.16118984,640,0.4
0.15944362,650,0.4
0.15916842,660,0.4
0.15871488,670,0.4
0.15713654,680,0.4
0.15673167,690,0.4
0.15748572,700,0.4
0.15519145,710,0.4
0.15550189,720,0.4
0.154805,730,0.4
0.1540776,740,0.4
0.15348391,750,0.4
0.15316437,760,0.4
0.15238826,770,0.4
0.15301137,780,0.4
0.15111446,790,0.4
0.15081717,800,0.4
0.14978278,810,0.4
0.1501774,820,0.4
0.15019695,830,0.4
0.14812581,840,0.4
0.14770073,850,0.4
0.14784414,860,0.4
0.1481134,870,0.4
0.14679259,880,0.4
0.14687717,890,0.4
0.14595152,900,0.4
0.14656433,910,0.4
0.14506626,920,0.4
0.14468844,930,0.4
0.14468864,940,0.4
0.14520656,950,0.4
0.14206329,960,0.4
0.14270683,970,0.4
0.14324336,980,0.4
0.1419649,990,0.4
0.14111063,1000,0.4
2.7516768,10,4.0
2.470599,20,4.0
2.4346316,30,4.0
2.3169637,40,4.0
2.2903104,50,4.0
2.2391026,60,4.0
2.2445261,70,4.0
2.1692863,80,4.0
2.1526692,90,4.0
2.1406057,100,4.0
2.1216612,110,4.0
2.112601,120,4.0
2.0732188,130,4.0
2.0946286,140,4.0
2.0936916,150,4.0
2.0755904,160,4.0
2.0711002,170,4.0
2.0753825,180,4.0
2.0586944,190,4.0
2.0551996,200,4.0
2.0291784,210,4.0
2.0343652,220,4.0
2.023384,230,4.0
2.022546,240,4.0
2.0337155,250,4.0
2.0052726,260,4.0
2.0186656,270,4.0
2.04228,280,4.0
2.010458,290,4.0
2.005093,300,4.0
2.007966,310,4.0
2.0136392,320,4.0
1.9986082,330,4.0
1.9882599,340,4.0
1.9927036,350,4.0
1.9935286,360,4.0
1.9889157,370,4.0
1.9811178,380,4.0
1.9754624,390,4.0
1.9842185,400,4.0
1.9872993,410,4.0
1.9758381,420,4.0
1.9653294,430,4.0
1.9725078,440,4.0
1.9669156,450,4.0
1.969545,460,4.0
1.9700134,470,4.0
1.9793625,480,4.0
1.9743953,490,4.0
1.9671588,500,4.0
1.9670353,510,4.0
1.9678415,520,4.0
1.9595559,530,4.0
1.9556879,540,4.0
1.9656557,550,4.0
1.9698863,560,4.0
1.95497,570,4.0
1.9609305,580,4.0
1.9448472,590,4.0
1.964784,600,4.0
1.9392326,610,4.0
1.9537305,620,4.0
1.9568703,630,4.0
1.9628295,640,4.0
1.9608675,650,4.0
1.9512563,660,4.0
1.9467759,670,4.0
1.9541843,680,4.0
1.9591674,690,4.0
1.9325571,700,4.0
1.9420304,710,4.0
1.9345115,720,4.0
1.9447764,730,4.0
1.9299487,740,4.0
1.9416786,750,4.0
1.932578,760,4.0
1.9356922,770,4.0
1.9388922,780,4.0
1.9324074,790,4.0
1.9376123,800,4.0
1.9363132,810,4.0
1.94443,820,4.0
1.9223149,830,4.0
1.9304359,840,4.0
1.9352323,850,4.0
1.9268652,860,4.0
1.9310573,870,4.0
1.937091,880,4.0
1.9391129,890,4.0
1.923282,900,4.0
1.9444469,910,4.0
1.9301934,920,4.0
1.9350522,930,4.0
1.9291477,940,4.0
1.9279476,950,4.0
1.9483175,960,4.0
1.9238715,970,4.0
1.9140297,980,4.0
1.9509321,990,4.0
1.9480454,1000,4.0
