neg,neg_err,L,p,L_A
21.658794936005116,0.026897143004382566,400.0,0.0,200.0
42.814353173865136,0.03861291893067437,800.0,0.0,400.0
63.81974213921288,0.052787467839637815,1200.0,0.0,600.0
84.92124737847533,0.07993057491002693,1600.0,0.0,800.0
106.02834561389312,0.0987742293522891,2000.0,0.0,1000.0
19.6980039722695,0.026527490667910714,400.0,0.2,200.0
38.787384876273684,0.03489333481805503,800.0,0.2,400.0
57.67577720968031,0.05398161177502679,1200.0,0.2,600.0
76.6348870468102,0.06645033887820898,1600.0,0.2,800.0
95.61979675814004,0.10586538693433208,2000.0,0.2,1000.0
6.282884946656483,0.03267580052663702,400.0,0.6,200.0
10.482867041342809,0.05040650975691442,800.0,0.6,400.0
14.015717459316011,0.08019753020030496,1200.0,0.6,600.0
17.374027656542765,0.11557444044179865,1600.0,0.6,800.0
20.209984315314053,0.20450831275041254,2000.0,0.6,1000.0
0.4210123352653607,0.006683569891238594,400.0,1.0,200.0
0.41560735260686144,0.006937839807493474,800.0,1.0,400.0
0.38552054776545863,0.0077397046683591484,1200.0,1.0,600.0
0.37093250356072327,0.00958722034095937,1600.0,1.0,800.0
0.34477859937120536,0.011446798460600996,2000.0,1.0,1000.0
0.02831670090023606,0.0014826011071814354,400.0,1.6,200.0
0.020474747564852964,0.0011203933772788986,800.0,1.6,400.0
0.016136819856182514,0.001024336284218352,1200.0,1.6,600.0
0.016312355128911934,0.001151510839472981,1600.0,1.6,800.0
0.012959146169659435,0.0013887733576905324,2000.0,1.6,1000.0
