neg,neg_err,L,p,L_A
1.1389824727663578,0.007777648103517283,40.0,0.0,20.0
2.066909319293348,0.009253676806658418,80.0,0.0,40.0
3.0597813491083654,0.012081444343375108,120.0,0.0,60.0
4.021925431844626,0.016488334296890405,160.0,0.0,80.0
4.967051275079461,0.022914476009568665,200.0,0.0,100.0
1.1471069769801208,0.007674446245035285,40.0,0.2,20.0
2.0749454408354415,0.009830278234596533,80.0,0.2,40.0
3.033312695680839,0.012875558945354495,120.0,0.2,60.0
4.008294098637161,0.016369203077383186,160.0,0.2,80.0
4.928126868097167,0.026592861133455166,200.0,0.2,100.0
0.82980848230674,0.00741935502841112,40.0,0.6,20.0
1.2916648868896445,0.011057776987042876,80.0,0.6,40.0
1.7565324119630983,0.014762871322020202,120.0,0.6,60.0
2.153388033085062,0.018507498298097853,160.0,0.6,80.0
2.490325362195739,0.035626231403611965,200.0,0.6,100.0
0.3698328179737758,0.006503738383288769,40.0,1.0,20.0
0.3742513726171254,0.007805508917694848,80.0,1.0,40.0
0.40183760066747093,0.008759580580550305,120.0,1.0,60.0
0.40421405777960606,0.010888181199324375,160.0,1.0,80.0
0.3688844459526848,0.013097186952008264,200.0,1.0,100.0
0.09479258025268235,0.003754996260222718,40.0,1.6,20.0
0.06527949145570441,0.003031754288957113,80.0,1.6,40.0
0.05449553076513254,0.0033874507183247055,120.0,1.6,60.0
0.04450901088771449,0.0028706157710197805,160.0,1.6,80.0
0.03832996723979189,0.003411482935377947,200.0,1.6,100.0
