neg,neg_err,L,p,L_A
0.8175081983346657,0.024903491646423154,400.0,0.9,200.0
0.8864555545755017,0.027428464373932294,800.0,0.9,400.0
0.888122396420874,0.03187009479466132,1200.0,0.9,600.0
0.901772997224113,0.040136422818841874,1600.0,0.9,800.0
0.9119058693411576,0.05444357949127968,2000.0,0.9,1000.0
0.830429157214666,0.02434486710202158,400.0,0.91,200.0
0.829851587329683,0.027721174703141317,800.0,0.91,400.0
0.8128598211758506,0.03394218355999586,1200.0,0.91,600.0
0.8404224512338241,0.042960699352023866,1600.0,0.91,800.0
0.8413556217207556,0.045246862374609384,2000.0,0.91,1000.0
0.7358061729220172,0.02459036974404299,400.0,0.92,200.0
0.7399034702873575,0.02589095416830086,800.0,0.92,400.0
0.7816182914265994,0.0346497117602823,1200.0,0.92,600.0
0.7754560612647128,0.02960910487857971,1600.0,0.92,800.0
0.7865491121547967,0.037760162767381825,2000.0,0.92,1000.0
0.6654286137271739,0.023259997906391258,400.0,0.93,200.0
0.6436352411112589,0.021724907858296824,800.0,0.93,400.0
0.6609329885945024,0.028706956024628385,1200.0,0.93,600.0
0.7807605448755661,0.032420475707236406,1600.0,0.93,800.0
0.7196886530745015,0.06344081262044884,2000.0,0.93,1000.0
0.6413433713543738,0.02101375715368543,400.0,0.94,200.0
0.6554495044160953,0.023334474209626855,800.0,0.94,400.0
0.643564013930382,0.02632365431514192,1200.0,0.94,600.0
0.6074918747419332,0.030638595612412445,1600.0,0.94,800.0
0.6149873758913308,0.05029450110982093,2000.0,0.94,1000.0
0.6057288460206961,0.01980322396133871,400.0,0.95,200.0
0.5858038474418145,0.02296910246328133,800.0,0.95,400.0
0.5493905397496547,0.02435444244729556,1200.0,0.95,600.0
0.5680781101004477,0.02598882011955377,1600.0,0.95,800.0
0.5699232085092817,0.04301491870704021,2000.0,0.95,1000.0
0.5638584270837486,0.018028463830329973,400.0,0.96,200.0
0.5419054487650498,0.019087339487999264,800.0,0.96,400.0
0.5422662737529207,0.01909897056802282,1200.0,0.96,600.0
0.5023955236742298,0.024562107836895643,1600.0,0.96,800.0
0.5432460050425342,0.0363787563507186,2000.0,0.96,1000.0
0.5385515013660033,0.017881224900758157,400.0,0.97,200.0
0.5168310362899299,0.020787427958407337,800.0,0.97,400.0
0.4847834031954841,0.02050934377782074,1200.0,0.97,600.0
0.4804035173300517,0.02415113551777345,1600.0,0.97,800.0
0.4547743257132499,0.030604148869357934,2000.0,0.97,1000.0
0.4796107360326834,0.01866828697133463,400.0,0.98,200.0
0.4616616615676595,0.01498084187228178,800.0,0.98,400.0
0.42445654611649253,0.019513205773615733,1200.0,0.98,600.0
0.42530646644377834,0.02113074475813226,1600.0,0.98,800.0
0.4632537356235735,0.020670133833643495,2000.0,0.98,1000.0
0.4512092896973546,0.016441145839234516,400.0,0.99,200.0
0.41166509072294444,0.018160583987006006,800.0,0.99,400.0
0.40635565082043495,0.01787735236964613,1200.0,0.99,600.0
0.4042038861458949,0.020126894781704985,1600.0,0.99,800.0
0.39521537884884683,0.02121563338494341,2000.0,0.99,1000.0
0.4398314706402646,0.01743381733954094,400.0,1.0,200.0
0.44134667042801856,0.017611688388765246,800.0,1.0,400.0
0.37806333063335124,0.017940321026798437,1200.0,1.0,600.0
0.3873357789327244,0.019268453489874732,1600.0,1.0,800.0
0.3539418730950588,0.026900423985478785,2000.0,1.0,1000.0
0.4088163588138922,0.014870093515795334,400.0,1.01,200.0
0.3624143802955754,0.013636718377345834,800.0,1.01,400.0
0.36114152150987283,0.016380507555858192,1200.0,1.01,600.0
0.34499581164300225,0.01750544512674434,1600.0,1.01,800.0
0.3579148245536674,0.028472183363601897,2000.0,1.01,1000.0
0.36494894918230547,0.014185819478706802,400.0,1.02,200.0
0.3256713943014407,0.014740942109430263,800.0,1.02,400.0
0.31772734820279275,0.015429721797133656,1200.0,1.02,600.0
0.3332203321904682,0.01784721466870121,1600.0,1.02,800.0
0.2855333677672792,0.018642141422073676,2000.0,1.02,1000.0
0.33885922251501244,0.012852148984021433,400.0,1.03,200.0
0.33590986104674625,0.011372282112145566,800.0,1.03,400.0
0.3098899281914374,0.012255293387444889,1200.0,1.03,600.0
0.300720856464196,0.016936911739998537,1600.0,1.03,800.0
0.31688669586461793,0.022999427914556943,2000.0,1.03,1000.0
0.3407143676318148,0.012707711413400057,400.0,1.04,200.0
0.29627915966619317,0.012647666790728818,800.0,1.04,400.0
0.2585216954947954,0.013263227586015737,1200.0,1.04,600.0
0.26960884848408295,0.013990508507062885,1600.0,1.04,800.0
0.2651459810550097,0.019200578415603617,2000.0,1.04,1000.0
0.3319608427160427,0.012227276415612153,400.0,1.05,200.0
0.28156654352043464,0.010607505479084279,800.0,1.05,400.0
0.2595094316084507,0.012252973761135242,1200.0,1.05,600.0
0.24326061703886284,0.012938317170769273,1600.0,1.05,800.0
0.21859977290416804,0.022368164833382675,2000.0,1.05,1000.0
0.29573946436836496,0.011069485938882746,400.0,1.06,200.0
0.24796741597572783,0.011065555247935642,800.0,1.06,400.0
0.2322926566960832,0.01276916122265997,1200.0,1.06,600.0
0.23405565658890418,0.016959820341421843,1600.0,1.06,800.0
0.21387682720082696,0.015052198986443322,2000.0,1.06,1000.0
0.2579454144336492,0.010474847150136584,400.0,1.07,200.0
0.23248793639199028,0.010662277383902135,800.0,1.07,400.0
0.2087844235056929,0.010732038406809877,1200.0,1.07,600.0
0.2142908237756243,0.016680679845773132,1600.0,1.07,800.0
0.1925279540507522,0.01801821434638494,2000.0,1.07,1000.0
0.26611245067084544,0.011003891274015706,400.0,1.08,200.0
0.24069130578165207,0.010590920347046113,800.0,1.08,400.0
0.2070918043796904,0.008752157366198794,1200.0,1.08,600.0
0.19198907590951345,0.011559295922984797,1600.0,1.08,800.0
0.18488994581782717,0.01656702576475905,2000.0,1.08,1000.0
0.25541533720237886,0.012651373073927979,400.0,1.09,200.0
0.2170567025182367,0.009887232877475437,800.0,1.09,400.0
0.20634685066275976,0.011515803874538603,1200.0,1.09,600.0
0.18105495272170624,0.01406054518785217,1600.0,1.09,800.0
0.15495454513559787,0.02138798622599036,2000.0,1.09,1000.0
0.22840715861365268,0.008551770049689418,400.0,1.1,200.0
0.1942777777684943,0.008813626071202925,800.0,1.1,400.0
0.18949205855505208,0.00852606274583264,1200.0,1.1,600.0
0.1569821555455561,0.008603916187202942,1600.0,1.1,800.0
0.14671364540010942,0.011241168726740606,2000.0,1.1,1000.0
