neg,neg_err,L,p,L_A
0.7142847831154935,0.006704881318268632,400.0,0.9,200.0
0.7578121104582446,0.008003117749749827,800.0,0.9,400.0
0.7764256142525295,0.009026672667044234,1200.0,0.9,600.0
0.7855372390137576,0.011700212961772321,1600.0,0.9,800.0
0.7783813143188283,0.015372805512191452,2000.0,0.9,1000.0
0.6668993210093389,0.006507825731702053,400.0,0.91,200.0
0.701087052616008,0.007770232230288955,800.0,0.91,400.0
0.7189412384705112,0.009016952607735017,1200.0,0.91,600.0
0.7255289108761565,0.010880793879983867,1600.0,0.91,800.0
0.7263717523241308,0.01484043592833242,2000.0,0.91,1000.0
0.6294747702501398,0.006474180716578088,400.0,0.92,200.0
0.6502634654808978,0.007149226542530729,800.0,0.92,400.0
0.6372245327354163,0.008174426170690979,1200.0,0.92,600.0
0.6686774224142435,0.01035105840336579,1600.0,0.92,800.0
0.6568818120152998,0.013444222407638687,2000.0,0.92,1000.0
0.596232017267294,0.0061562045815711595,400.0,0.93,200.0
0.5982655607177739,0.006584908542369452,800.0,0.93,400.0
0.6033071341679226,0.008002304143531737,1200.0,0.93,600.0
0.6190035130745384,0.008712669243439598,1600.0,0.93,800.0
0.5849000772693678,0.012160669814343673,2000.0,0.93,1000.0
0.5583452342518315,0.005768352471238881,400.0,0.94,200.0
0.565763689428289,0.0063835012296037,800.0,0.94,400.0
0.5622401129457311,0.007334178145715879,1200.0,0.94,600.0
0.5591381262743582,0.009128045011169702,1600.0,0.94,800.0
0.5633073286516185,0.01227152215595862,2000.0,0.94,1000.0
0.5260050342948377,0.005576650452108201,400.0,0.95,200.0
0.5183924134119917,0.006099345431952224,800.0,0.95,400.0
0.5218726587296708,0.007364913635127871,1200.0,0.95,600.0
0.5146916726694079,0.0084366605845876,1600.0,0.95,800.0
0.49789720500276763,0.010646777622031861,2000.0,0.95,1000.0
0.4898690086468812,0.0052200188991836614,400.0,0.96,200.0
0.4945037526270803,0.005825859753193687,800.0,0.96,400.0
0.4759478205417894,0.006360562287778867,1200.0,0.96,600.0
0.4843240619257182,0.007535984963339799,1600.0,0.96,800.0
0.471405614518887,0.010333139013472315,2000.0,0.96,1000.0
0.4614832191165934,0.005088564449406629,400.0,0.97,200.0
0.4466031536781127,0.005605867603117174,800.0,0.97,400.0
0.4307072292175769,0.005852140162319558,1200.0,0.97,600.0
0.42814753031733216,0.007003749223627069,1600.0,0.97,800.0
0.41513197567950244,0.010145717476450468,2000.0,0.97,1000.0
0.42853206344987405,0.00511448712422496,400.0,0.98,200.0
0.42576153670008504,0.0051815136596115785,800.0,0.98,400.0
0.4026066309542411,0.005487758529901537,1200.0,0.98,600.0
0.3825398972538671,0.006323883521653782,1600.0,0.98,800.0
0.386347191319669,0.009558090269956902,2000.0,0.98,1000.0
0.4051789636448574,0.004745688856071561,400.0,0.99,200.0
0.3909312707186483,0.00477806603707586,800.0,0.99,400.0
0.3757421473998733,0.005161013775665017,1200.0,0.99,600.0
0.3784383708165624,0.006054702122279483,1600.0,0.99,800.0
0.3494963516050589,0.008203530842843827,2000.0,0.99,1000.0
0.3822287957324781,0.004387875602896165,400.0,1.0,200.0
0.3630612016923368,0.004578835438435475,800.0,1.0,400.0
0.3419029562737588,0.00511598303382339,1200.0,1.0,600.0
0.32973095682909703,0.005627774310520051,1600.0,1.0,800.0
0.3299970244882689,0.007411550761977942,2000.0,1.0,1000.0
0.3631136942384453,0.0043599705924959285,400.0,1.01,200.0
0.3344987112136384,0.004240989937295558,800.0,1.01,400.0
0.32733238540195536,0.004715454085632448,1200.0,1.01,600.0
0.3136974677387821,0.005413497505692961,1600.0,1.01,800.0
0.30675778312175683,0.007168143499050477,2000.0,1.01,1000.0
0.336365372677766,0.003979680347370206,400.0,1.02,200.0
0.31518344890019084,0.004076730288458685,800.0,1.02,400.0
0.2943645721053803,0.004377525363419145,1200.0,1.02,600.0
0.2769609933224845,0.004737157874082765,1600.0,1.02,800.0
0.2739946129681662,0.006409623145690194,2000.0,1.02,1000.0
0.3254066907341398,0.004179878465279655,400.0,1.03,200.0
0.2892726400985273,0.0037418821275912043,800.0,1.03,400.0
0.2719633004548722,0.003950083027101904,1200.0,1.03,600.0
0.2602704507476062,0.0045433016909785535,1600.0,1.03,800.0
0.25993704204010987,0.006952150041686548,2000.0,1.03,1000.0
0.30078917001314326,0.003796695455272945,400.0,1.04,200.0
0.27307342642995686,0.003681517853362954,800.0,1.04,400.0
0.2576061740255346,0.004070630957830002,1200.0,1.04,600.0
0.2473899439807592,0.00453027997664645,1600.0,1.04,800.0
0.2323022810324871,0.005970021687755676,2000.0,1.04,1000.0
0.2895304928740761,0.0036411511766453416,400.0,1.05,200.0
0.2583912765172688,0.0036889651190562265,800.0,1.05,400.0
0.2388107474337103,0.0037290270116238987,1200.0,1.05,600.0
0.23780517612252752,0.004425536174340719,1600.0,1.05,800.0
0.21668559278192612,0.005522458618507785,2000.0,1.05,1000.0
