neg,neg_err,L,p,L_A
2.727953918330702,0.006183459027448493,100.0,0.0,13.0
3.21255584722484,0.007509408666328919,100.0,0.0,16.0
3.6512576660772917,0.008146909091860796,100.0,0.0,19.0
4.042718192562834,0.008865795699106534,100.0,0.0,22.0
4.40087665127411,0.009648598656777866,100.0,0.0,25.0
4.685170326699638,0.010035497139551031,100.0,0.0,28.0
4.95520241813787,0.010755934231060353,100.0,0.0,31.0
5.163625639417112,0.01092946988818768,100.0,0.0,34.0
5.343348700299671,0.011714260178247204,100.0,0.0,37.0
5.504363200342193,0.011859282382032967,100.0,0.0,40.0
5.610505845089655,0.011677548076078731,100.0,0.0,43.0
5.68535902916851,0.011935449335895387,100.0,0.0,46.0
5.7017735415143465,0.012207664542039968,100.0,0.0,49.0
2.4252827571049753,0.00631901020344319,100.0,0.2,13.0
2.8848964236441867,0.007217556026675698,100.0,0.2,16.0
3.289947412004169,0.007780496448337479,100.0,0.2,19.0
3.6661044527438116,0.008767546728717166,100.0,0.2,22.0
3.9861697396673397,0.009420665170165165,100.0,0.2,25.0
4.282278108823715,0.009378703488728568,100.0,0.2,28.0
4.546117382764498,0.010771092746707074,100.0,0.2,31.0
4.763246080998797,0.01105589101533845,100.0,0.2,34.0
4.930472707250848,0.011092789260915918,100.0,0.2,37.0
5.059220751077609,0.011520391566296891,100.0,0.2,40.0
5.191060683850362,0.011287345458359837,100.0,0.2,43.0
5.24328007174027,0.011336892490605984,100.0,0.2,46.0
5.271606361546896,0.011577774100436642,100.0,0.2,49.0
1.2372481885767292,0.00668348773985319,100.0,0.6,13.0
1.4384290700994797,0.006909296212764788,100.0,0.6,16.0
1.600224908236577,0.008004472734717508,100.0,0.6,19.0
1.7531961864502454,0.008528841142081432,100.0,0.6,22.0
1.878842615541931,0.009062371840000203,100.0,0.6,25.0
2.022349978630389,0.00929012485048064,100.0,0.6,28.0
2.108163267860467,0.009596311092957052,100.0,0.6,31.0
2.181380865671005,0.009820851494461585,100.0,0.6,34.0
2.2585233326953618,0.010053030619293019,100.0,0.6,37.0
2.305100300650661,0.009898013502293548,100.0,0.6,40.0
2.3593413776819716,0.010287424060415173,100.0,0.6,43.0
2.3902024679489604,0.010060552312889586,100.0,0.6,46.0
2.3971837360097012,0.010361133571298557,100.0,0.6,49.0
0.32977722275134386,0.004363379586162102,100.0,1.0,13.0
0.36089952773282696,0.004476663749146448,100.0,1.0,16.0
0.3876855010956574,0.004860752032534366,100.0,1.0,19.0
0.4018695696539664,0.004784383608564799,100.0,1.0,22.0
0.42510117061644753,0.00513111260206154,100.0,1.0,25.0
0.4340755545991733,0.005068533778398133,100.0,1.0,28.0
0.44767313556565363,0.005208138929138119,100.0,1.0,31.0
0.46049689621509454,0.005091540399123335,100.0,1.0,34.0
0.45928748140144793,0.005289046264820188,100.0,1.0,37.0
0.4557996170723508,0.005316229438040318,100.0,1.0,40.0
0.47196213375515317,0.005371256918539441,100.0,1.0,43.0
0.47912514710606224,0.005445532999687238,100.0,1.0,46.0
0.4802663184668404,0.005318769890835612,100.0,1.0,49.0
0.052564411167072334,0.0016686482978165457,100.0,1.6,13.0
0.05398755228584072,0.0017217800591498083,100.0,1.6,16.0
0.051298358028589494,0.0014650157241696108,100.0,1.6,19.0
0.05754575892722059,0.0016915660026244285,100.0,1.6,22.0
0.055026329346132836,0.0015731384782997956,100.0,1.6,25.0
0.06021342186989028,0.0018478848341203274,100.0,1.6,28.0
0.05663022269380996,0.0016721126279105858,100.0,1.6,31.0
0.05892552746858404,0.0018898802157253192,100.0,1.6,34.0
0.056172357680223405,0.0015501282625149937,100.0,1.6,37.0
0.056612546118100425,0.0016801633768851198,100.0,1.6,40.0
0.0559492265150853,0.0016300688775151297,100.0,1.6,43.0
0.05685632699824103,0.0017347047642636447,100.0,1.6,46.0
0.05790270618434413,0.0017377298872833834,100.0,1.6,49.0
